ciudad,anio,mes,temp_promedio_c,temp_max_c,temp_min_c,precipitacion_mm,humedad_promedio_pct
CDMX,2023,1,12.0,17.2,5.7,0.0,73.0
CDMX,2023,2,15.4,20.2,12.2,67.0,49.5
CDMX,2023,3,18.2,22.8,13.5,40.2,59.5
CDMX,2023,4,19.9,27.8,14.2,183.2,46.1
CDMX,2023,5,23.2,29.2,16.6,278.1,44.9
CDMX,2023,6,23.9,29.8,18.1,256.8,40.0
CDMX,2023,7,23.2,30.7,17.5,285.9,57.1
CDMX,2023,8,20.3,26.4,14.9,151.8,50.8
CDMX,2023,9,17.3,23.8,11.0,33.0,49.4
CDMX,2023,10,15.2,21.3,11.3,13.2,66.3
CDMX,2023,11,13.0,18.8,6.4,90.4,55.9
CDMX,2023,12,12.2,18.6,6.1,53.0,47.3
CDMX,2024,1,12.6,17.3,7.2,14.4,53.9
CDMX,2024,2,14.8,19.2,10.0,0.0,67.0
CDMX,2024,3,17.1,24.8,11.1,41.4,59.8
CDMX,2024,4,19.9,27.8,16.0,224.2,58.5
CDMX,2024,5,22.7,27.9,16.0,290.1,54.0
CDMX,2024,6,22.1,26.1,15.8,304.8,66.3
CDMX,2024,7,21.2,26.5,18.0,271.7,46.6
CDMX,2024,8,19.7,23.7,16.1,162.4,48.2
CDMX,2024,9,16.0,22.5,11.9,70.0,64.1
CDMX,2024,10,14.8,19.6,9.5,48.6,73.7
CDMX,2024,11,10.5,16.3,4.8,68.9,35.3
CDMX,2024,12,12.1,16.3,5.2,102.0,62.7
Monterrey,2023,1,20.6,27.1,16.1,55.9,62.2
Monterrey,2023,2,23.0,29.2,16.8,46.7,41.5
Monterrey,2023,3,23.3,30.8,18.1,93.0,46.9
Monterrey,2023,4,26.7,31.9,23.3,138.8,60.0
Monterrey,2023,5,26.3,31.1,22.3,189.0,58.5
Monterrey,2023,6,26.1,34.0,19.3,263.1,52.1
Monterrey,2023,7,28.8,35.6,25.5,176.4,50.1
Monterrey,2023,8,26.0,32.8,19.4,158.7,61.5
Monterrey,2023,9,23.9,30.2,17.1,55.1,33.8
Monterrey,2023,10,22.9,28.0,18.9,83.7,61.7
