pais,continente,anio,mes,llegadas_turistas_millones,ingresos_turismo_usd_millones
México,América,2022,1,3.195,3706.6
México,América,2022,2,3.574,2762.0
México,América,2022,3,3.344,3474.2
México,América,2022,4,3.411,2923.2
México,América,2022,5,3.134,3728.5
México,América,2022,6,2.69,3037.7
México,América,2022,7,1.939,2733.7
México,América,2022,8,1.915,1978.2
México,América,2022,9,1.779,2733.5
México,América,2022,10,1.511,1885.4
México,América,2022,11,2.102,3254.5
México,América,2022,12,2.519,2065.9
México,América,2023,1,3.457,3955.7
México,América,2023,2,3.837,5995.6
México,América,2023,3,3.795,3421.2
México,América,2023,4,3.862,4931.7
México,América,2023,5,3.915,4791.1
México,América,2023,6,2.739,4209.2
México,América,2023,7,2.423,3169.5
México,América,2023,8,2.037,1823.6
México,América,2023,9,2.024,2820.8
México,América,2023,10,1.861,2073.4
México,América,2023,11,2.328,1987.4
México,América,2023,12,2.698,4225.6
México,América,2024,1,4.403,4597.1
México,América,2024,2,4.693,3462.4
México,América,2024,3,5.101,6036.6
México,América,2024,4,4.799,4551.2
México,América,2024,5,3.801,3851.6
México,América,2024,6,3.836,4168.1
México,América,2024,7,2.772,4325.0
México,América,2024,8,2.625,2770.5
México,América,2024,9,2.058,2935.1
México,América,2024,10,2.066,2175.2
México,América,2024,11,3.085,4707.4
México,América,2024,12,3.091,2383.0
Estados Unidos,América,2022,1,6.223,7837.9
Estados Unidos,América,2022,2,5.852,6761.3
Estados Unidos,América,2022,3,5.735,7628.1
Estados Unidos,América,2022,4,6.404,8543.6
Estados Unidos,América,2022,5,5.02,6427.8
Estados Unidos,América,2022,6,4.685,5385.3
Estados Unidos,América,2022,7,3.823,4858.3
Estados Unidos,América,2022,8,3.467,4352.4
Estados Unidos,América,2022,9,2.754,2485.6
Estados Unidos,América,2022,10,2.961,3094.2
Estados Unidos,América,2022,11,3.999,3203.6
Estados Unidos,América,2022,12,5.12,5829.9
Estados Unidos,América,2023,1,7.027,8697.7
Estados Unidos,América,2023,2,8.809,10835.2
Estados Unidos,América,2023,3,7.088,5896.3
Estados Unidos,América,2023,4,8.246,8166.3
Estados Unidos,América,2023,5,7.565,8771.8
