fecha,latitud,longitud,magnitud,profundidad_km,region
2022-01-05,18.3563,-97.1844,3.5,30.6,Puebla-Veracruz
2022-01-07,17.3993,-101.7646,3.6,20.2,Michoacán
2022-01-21,31.7539,-115.2665,3.6,15.9,Baja California
2022-01-23,18.2111,-101.9117,3.6,43.7,Michoacán
2022-01-24,14.856,-93.3456,4.9,44.6,Costa de Chiapas
2022-01-28,16.5546,-100.3267,3.7,44.8,Costa de Guerrero
2022-01-29,15.7237,-97.7542,4.6,5.2,Costa de Oaxaca
2022-02-01,14.937,-93.3577,3.5,16.3,Costa de Chiapas
2022-02-02,16.6411,-101.2749,3.6,37.1,Costa de Guerrero
2022-02-05,15.3765,-98.3535,5.8,13.5,Costa de Oaxaca
2022-02-06,19.0014,-102.2467,3.9,14.0,Michoacán
2022-02-07,32.2758,-115.6623,3.7,7.5,Baja California
2022-02-12,15.309,-97.3252,4.3,5.7,Costa de Oaxaca
2022-02-12,19.1425,-105.469,3.5,30.0,Jalisco
2022-02-21,19.381,-105.1276,3.8,25.2,Jalisco
2022-02-24,14.985,-92.7594,4.2,31.6,Costa de Chiapas
2022-03-04,32.7622,-115.1703,5.2,17.2,Baja California
2022-03-04,15.657,-93.3223,3.5,14.3,Costa de Chiapas
2022-03-04,19.1114,-104.3071,4.3,6.0,Jalisco
2022-03-04,17.9246,-102.1275,3.7,22.5,Michoacán
2022-03-06,20.6199,-103.8454,6.0,27.8,Jalisco
2022-03-17,17.8285,-100.577,4.6,17.0,Costa de Guerrero
2022-03-24,19.6399,-103.8254,6.7,54.7,Jalisco
2022-03-28,15.4257,-98.345,3.8,5.5,Costa de Oaxaca
2022-04-01,17.7303,-97.5001,3.8,8.6,Puebla-Veracruz
2022-04-02,30.9059,-115.4689,3.7,63.2,Baja California
2022-04-03,19.3361,-97.3314,5.9,7.4,Puebla-Veracruz
2022-04-05,24.3625,-108.8521,3.7,22.4,Golfo de California
2022-04-06,32.6704,-115.283,5.8,5.9,Baja California
2022-04-09,19.8859,-105.8915,4.6,61.3,Jalisco
2022-04-11,18.6297,-102.4403,4.6,35.6,Michoacán
2022-04-13,19.4052,-97.7446,3.7,5.5,Puebla-Veracruz
2022-04-17,23.8919,-108.3895,4.5,84.3,Golfo de California
2022-04-27,15.1594,-93.0448,4.0,33.0,Costa de Chiapas
2022-04-30,19.0717,-104.6743,4.0,17.2,Jalisco
2022-05-04,15.9938,-97.3801,4.3,131.9,Costa de Oaxaca
2022-05-06,16.4713,-97.8736,6.5,28.9,Costa de Oaxaca
2022-05-12,19.5114,-105.1455,6.7,20.1,Jalisco
2022-05-15,15.7417,-91.6489,3.8,9.3,Costa de Chiapas
2022-05-17,17.4614,-102.9255,4.4,27.9,Michoacán
2022-05-19,17.2548,-99.8417,3.7,52.3,Costa de Guerrero
2022-05-20,16.9449,-99.972,4.6,10.7,Costa de Guerrero
2022-05-22,18.5784,-103.8802,3.8,5.4,Michoacán
2022-05-22,15.74,-97.0548,4.1,37.1,Costa de Oaxaca
2022-05-25,18.5656,-102.2079,3.7,9.4,Michoacán
2022-05-26,19.6192,-104.5973,4.0,25.2,Jalisco
2022-05-29,18.121,-102.7122,3.7,39.7,Michoacán
2022-05-30,14.4569,-92.806,7.8,48.0,Costa de Chiapas
2022-05-31,16.7717,-100.9533,3.7,32.3,Costa de Guerrero
2022-06-01,23.5548,-109.2965,3.7,17.7,Golfo de California
2022-06-01,23.8854,-108.8169,3.7,40.8,Golfo de California
2022-06-02,18.4662,-102.1459,5.9,13.3,Michoacán
2022-06-03,32.4415,-115.092,4.3,91.3,Baja California
2022-06-03,32.3158,-115.281,4.2,34.8,Baja California
2022-06-05,31.8781,-115.3804,3.9,27.8,Baja California
2022-06-25,22.8663,-108.3644,3.6,35.6,Golfo de California
2022-07-13,15.529,-98.2277,3.9,51.1,Costa de Oaxaca
2022-07-13,15.6992,-97.7043,4.5,16.8,Costa de Oaxaca
2022-07-23,15.2598,-93.0946,4.8,34.6,Costa de Chiapas
2022-07-27,31.1394,-115.5209,6.0,5.7,Baja California
2022-07-30,31.1548,-115.1161,3.7,10.7,Baja California
2022-07-31,23.385,-107.8292,3.9,15.8,Golfo de California
2022-08-02,31.6101,-115.4684,5.2,17.9,Baja California
2022-08-04,18.3345,-97.3547,4.0,11.6,Puebla-Veracruz
